Indalaza CITY OF MALAYBALAY (Capital) Bukidnon
Kalasungay CITY OF MALAYBALAY (Capital) Bukidnon
Kabalabag CITY OF MALAYBALAY (Capital) Bukidnon
Kulaman CITY OF MALAYBALAY (Capital) Bukidnon
Laguitas CITY OF MALAYBALAY (Capital) Bukidnon
Patpat (Lapu-lapu) CITY OF MALAYBALAY (Capital) Bukidnon
Linabo CITY OF MALAYBALAY (Capital) Bukidnon
Apo Macote CITY OF MALAYBALAY (Capital) Bukidnon
Miglamin CITY OF MALAYBALAY (Capital) Bukidnon
Magsaysay CITY OF MALAYBALAY (Capital) Bukidnon
Maligaya CITY OF MALAYBALAY (Capital) Bukidnon
Managok CITY OF MALAYBALAY (Capital) Bukidnon
Manalog CITY OF MALAYBALAY (Capital) Bukidnon
Mapayag CITY OF MALAYBALAY (Capital) Bukidnon
Mapulo CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 1 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 2 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 3 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 4 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 5 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 6 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 7 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 8 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 9 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 10 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Barangay 11 (Pob.) CITY OF MALAYBALAY (Capital) Bukidnon
Saint Peter CITY OF MALAYBALAY (Capital) Bukidnon
San Jose CITY OF MALAYBALAY (Capital) Bukidnon
San Martin CITY OF MALAYBALAY (Capital) Bukidnon
Santo Ni¤o CITY OF MALAYBALAY (Capital) Bukidnon
Silae CITY OF MALAYBALAY (Capital) Bukidnon
Simaya CITY OF MALAYBALAY (Capital) Bukidnon
Sinanglanan CITY OF MALAYBALAY (Capital) Bukidnon
Sumpong CITY OF MALAYBALAY (Capital) Bukidnon
